,id,Nome da Instituicao,Nome do Curso de Graduacao,Codigo do Município do Curso,Modalidade de Ensino,Ano de Referencia,Quantidade de Ingressantes no Curso,Quantidade de Permanencia no Curso no ano de referencia,Quantidade de Concluintes no Curso no ano de referencia,Quantidade de Desistencia no Curso no ano de referencia,Quantidade de Falecimentos no Curso no ano de referencia,Taxa de Permanencia – TAP,Taxa de Conclusao Acumulada - TCA,Taxa de Desistencia Acumulada - TDA,Taxa de Conclusao Anual - TCAN,Taxa de Desistencia Anual - TADA,Nome do Município
2750,7,UNIVERSIDADE FEDERAL DE SÃO CARLOS,ENGENHARIA CIVIL,3548906,Presencial,2017,81,76,0,4,1,95,0,5,0,5,São Carlos
2751,7,UNIVERSIDADE FEDERAL DE SÃO CARLOS,ENGENHARIA CIVIL,3548906,Presencial,2018,81,67,0,9,0,"83,8",0,"16,3",0,"11,3",São Carlos
2752,7,UNIVERSIDADE FEDERAL DE SÃO CARLOS,ENGENHARIA CIVIL,3548906,Presencial,2019,81,63,0,4,0,"78,8",0,"21,3",0,5,São Carlos
2753,7,UNIVERSIDADE FEDERAL DE SÃO CARLOS,ENGENHARIA CIVIL,3548906,Presencial,2020,81,61,0,2,0,"76,3",0,"23,8",0,"2,5",São Carlos
2754,7,UNIVERSIDADE FEDERAL DE SÃO CARLOS,ENGENHARIA CIVIL,3548906,Presencial,2021,81,52,8,1,0,65,10,25,10,"1,3",São Carlos
2755,7,UNIVERSIDADE FEDERAL DE SÃO CARLOS,ENGENHARIA DE MATERIAIS,3548906,Presencial,2017,84,80,0,4,0,"95,2",0,"4,8",0,"4,8",São Carlos
2756,7,UNIVERSIDADE FEDERAL DE SÃO CARLOS,ENGENHARIA DE MATERIAIS,3548906,Presencial,2018,84,73,0,7,0,"86,9",0,"13,1",0,"8,3",São Carlos
2757,7,UNIVERSIDADE FEDERAL DE SÃO CARLOS,ENGENHARIA DE MATERIAIS,3548906,Presencial,2019,84,65,1,7,0,"77,4","1,2","21,4","1,2","8,3",São Carlos
2758,7,UNIVERSIDADE FEDERAL DE SÃO CARLOS,ENGENHARIA DE MATERIAIS,3548906,Presencial,2020,84,63,0,2,0,75,"1,2","23,8",0,"2,4",São Carlos
2759,7,UNIVERSIDADE FEDERAL DE SÃO CARLOS,ENGENHARIA DE MATERIAIS,3548906,Presencial,2021,84,61,1,1,0,"72,6","2,4",25,"1,2","1,2",São Carlos
